Mã HP,Tên HP,Thời lượng,Số tín chỉ,TC học phí,Trọng số,Học phần điều kiện,Tên tiếng anh,Tên viết tắt,Viện quản lý
MI1010,Giải tích I,3(3-2-0-6),3,5,0.7,,Calculus I,Giải tích I,KTTD
MI1030,Đại số,3(3-2-0-6),3,5,0.7,,Algebra,Đại số,KTTD
IT1010,Tin học đại cương,3(3-1-1-6),3,5.5,0.6,,Introduction to Computer Science,Tin học đại cương,KCNTT
FL1010,Tiếng Anh I,3(3-2-0-6),3,5,0.7,,"GE, Pre-Intermediate I",Tiếng Anh I,KNN
ME2010,Hình học họa hình,2(1-1-0-4),2,2,0.7,,Descriptive Geometry,Hình học họa hình,KCK
SSH1030,Lịch sử Đảng CSVN,2(2-0-2-4),2,5,0.7,,History of Communist Party of Vietnam,Lịch sử Đảng CSVN,KML
PE1010,Giáo dục thể chất A,0(0-0-2-0),0,1.5,1,,Physical Education A,Giáo dục thể chất A,BGDTC
MI1020,Giải tích II,3(2-2-0-6),3,4,0.7,MI1010,Calculus II,Giải tích II,KTTD
MI1040,Phương trình vi phân và chuỗi,2(2-1-0-4),2,3,0.7,MI1010,Differential Equations and Series,Phương trình vi phân và chuỗi,KTTD
PH1010,Vật lý đại cương I,4(3-2-1-8),4,6.5,0.7,MI1010,Physics I,Vật lý đại cương I,VVLKT
FL1020,Tiếng Anh II,3(3-1-0-6),3,4,0.7,FL1010,English II,Tiếng Anh II,KNN
ME2020,Vẽ kỹ thuật ,2(1-1-0-4),2,2,0.7,,Technical Drawing ,Vẽ kỹ thuật ,KCK
SSH1010,Triết học Mác-Lênin,4(3-0-3-6),4,7.5,0.7,,Philosophy,Triết học Mác-Lênin,KML
PE1020,Giáo dục thể chất B,0(0-0-2-0),0,1.5,1,,Physical Education B,Giáo dục thể chất B,BGDTC
MIL1010,Giáo dục quốc phòng I,0(1-0-2-0),0,3,1,,Military Service Training I,Giáo dục quốc phòng I,KGDQP
SSH1020,Kinh tế chính trị,3(3-0-2-6),3,6,0.7,,Political Economics,Kinh tế chính trị,KML
SSH1040,CNXH khoa học,2(2-0-2-4),2,5,0.7,,Scientific Socialism,CNXH khoa học,KML
SSH1050,Tư tưởng HCM,2(2-0-0-4),2,2,0.7,,Ho Chi Minh Ideology,Tư tưởng HCM,KML
FL2010,Tiếng Anh KHKT,2(2-1-0-4),2,3,0.7,FL1020,English for Science & Engineering,Tiếng Anh KHKT,KNN
PE1030,Giáo dục thể chất C,0(0-0-2-0),0,1.5,1,,Physical Education C,Giáo dục thể chất C,BGDTC
PE2020,Giáo dục thể chất E,0(0-0-2-0),0,1.5,1,PE2010,Physical Education E,Giáo dục thể chất E,BGDTC
MIL2010,Giáo dục quốc phòng II,0(1-0-1-0),0,2,1,,Military Service Training II,Giáo dục quốc phòng II,KGDQP
PH1020,Vật lý đại cương II,4(3-2-1-8),4,6.5,0.7,PH1010,Physics II,Vật lý đại cương II,VVLKT
CH1010,Hoá học đại cương,3(2-1-1-6),3,4.5,0.5,,General Chemistry,Hoá học đại cương,KCNHH
EM1010,Quản trị học đại cương,2(2-1-0-4),2,3,0.7,,Introduction to Management,Quản trị học đại cương,KKTVQL
MI2010,Phương pháp tính,2(2-0-0-4),2,2,0.7,,Numerical Methods,Phương pháp tính,KTTD
MI2020,Xác suất thống kê,3(2-2-0-6),3,4,0.7,,Probability and Statistics,Xác suất thống kê,KTTD
EE2010,Kỹ thuật điện,3(2-1-1-6),3,4.5,0.7,PH1010/PH1120,Fundamentals of Electrical Engineering,Kỹ thuật điện,KD
HE2010,Kỹ thuật nhiệt,3(3-1-0-6),3,4,0.7,,Thermal Engineering,Kỹ thuật nhiệt,VKHVCNNL
ME2030,Cơ khí đại cương,2(2-1-0-4),2,3,0.7,,Introductory Mechanical Engineering,Cơ khí đại cương,KCK
ME2040,Cơ học kỹ thuật,3(2-2-0-6),3,4,0.7,,Engineering Mechanics ,Cơ học kỹ thuật,KCK
FL3011,Kỹ năng nói tiếng Anh I,2(2-1-0-4),2,3,0.5,,Speaking Skills I,Kỹ năng nói tiếng Anh I,KNN
FL3021,Kỹ năng nghe tiếng Anh I,2(2-1-0-4),2,3,0.6,,Listening Skills I,Kỹ năng nghe tiếng Anh I,KNN
FL3031,Kỹ năng đọc tiếng Anh I,2(2-1-0-4),2,3,0.6,,Reading Skills I,Kỹ năng đọc tiếng Anh I,KNN
FL1320,Cơ sở văn hoá Việt Nam,2(2-0-0-4),2,2,0.6,,Introduction to Vietnamese Culture,Cơ sở văn hoá Việt Nam,KNN
IT1020,Tin học đại cương,3(3-1-1-6),3,5.5,0.6,,Introduction to Computer Science,Tin học đại cương,KCNTT
FL3012,Kỹ năng nói tiếng Anh II,2(2-1-0-4),2,3,0.5,FL3011,Speaking Skills II,Kỹ năng nói tiếng Anh II,KNN
FL3022,Kỹ năng nghe tiếng Anh II,3(2-2-0-6),3,4,0.6,FL3021/FL1017,Listening Skills II,Kỹ năng nghe tiếng Anh II,KNN
